workerid,workerid,seclang,gender,age,race,region,regionComments,speaker,sentence,content,intonation,verification,followupchoice,certainty,comment1
A1HK3SCP87STFY,,,gen=2,age=1,eth=3,California,,chr,S1UM,calm,HLL,Be calm,response=1,71,
A1HK3SCP87STFY,,,gen=2,age=1,eth=3,California,,kev,S1UM,home,LHL,Stay home,response=2,89,
A1HK3SCP87STFY,,,gen=2,age=1,eth=3,California,,zio,S1UM,apple,LHL,Use an apple core,response=1,35,
A1HK3SCP87STFY,,,gen=2,age=1,eth=3,California,,bec,S1UM,call,HLL,Call your mom,response=1,60,
A1HK3SCP87STFY,,,gen=2,age=1,eth=3,California,,kev,S1UM,dog,HLL,Take the dog for a walk,response=1,84,
A1HK3SCP87STFY,,,gen=2,age=1,eth=3,California,,zio,S1UM,right,LHL,Go right,response=1,39,
A1HK3SCP87STFY,,,gen=2,age=1,eth=3,California,,kev,filler,operation,until,Only three people knew the truth until the operation was underway,response=1,59,
A2VKHQOIN0XPHY,,,gen=2,age=2,eth=3,New York City,,zio,S1UM,right,LHL,Go right,response=1,25,
A2VKHQOIN0XPHY,,,gen=2,age=2,eth=3,New York City,,zio,S1UM,apple,LHL,use an applecore,response=1,71,
A2VKHQOIN0XPHY,,,gen=2,age=2,eth=3,New York City,,chr,S1UM,calm,HLL,be calm,response=1,42,
A2VKHQOIN0XPHY,,,gen=2,age=2,eth=3,New York City,,kev,S1UM,home,LHL,stay home,response=1,69,
A2VKHQOIN0XPHY,,,gen=2,age=2,eth=3,New York City,,kev,S1UM,dog,HLL,take the dog for a walk,response=1,72,
A2VKHQOIN0XPHY,,,gen=2,age=2,eth=3,New York City,,bec,S1UM,call,HLL,call your mom,response=2,26,
A2VKHQOIN0XPHY,,,gen=2,age=2,eth=3,New York City,,sara,filler,conference,before,i managed to solicit money from many people before the conference started,response=2,82,
A2VKHQOIN0XPHY,,,gen=2,age=2,eth=3,New York City,,kev,filler,operation,until,only three people knew the truth until the operation was underway,response=1,78,
A15S05SP4DRVKX,,,gen=1,age=1,eth=1,Florida,,kev,S1UM,call,LHL,Call your mom,response=2,58,
A15S05SP4DRVKX,,,gen=1,age=1,eth=1,Florida,,zio,S1UM,calm,LHL,Be calm,response=1,91,
A15S05SP4DRVKX,,,gen=1,age=1,eth=1,Florida,,sara,filler,register,until,Many students register for the class until the class requirements are posted,response=2,64,
A15S05SP4DRVKX,,,gen=1,age=1,eth=1,Florida,,kev,filler,border,before,Few people managed to leave before the country closed its border,response=1,89,
A15S05SP4DRVKX,,,gen=1,age=1,eth=1,Florida,,kev,S1UM,home,HLL,Stay home,response=1,98,
A15S05SP4DRVKX,,,gen=1,age=1,eth=1,Florida,,zio,S1UM,apple,HLL,Use an apple corer,response=2,72,
A15S05SP4DRVKX,,,gen=1,age=1,eth=1,Florida,,kev,S1UM,dog,LHL,take the dog for a walk,response=1,95,
A15S05SP4DRVKX,,,gen=1,age=1,eth=1,Florida,,zio,S1UM,right,HLL,go right,response=1,80,
A271V19C06841K,"	",,gen=2,age=2,eth=3,MA,"	",sara,filler,operation,before,Only three people knew the truth before the operation was underway,response=1,28,no
A271V19C06841K,"	",,gen=2,age=2,eth=3,MA,"	",bec,S1UM,home,LHL,Stay home,response=1,100,
A271V19C06841K,"	",,gen=2,age=2,eth=3,MA,"	",chr,filler,conference,until,I managed to solicite money from many people until the conference started.,response=1,34,
A271V19C06841K,"	",,gen=2,age=2,eth=3,MA,"	",chr,S1UM,right,LHL,Go right,response=1,100,
A271V19C06841K,"	",,gen=2,age=2,eth=3,MA,"	",chr,S1UM,apple,LHL,Use an apple corer,response=1,100,
A271V19C06841K,"	",,gen=2,age=2,eth=3,MA,"	",zio,S1UM,calm,HLL,be calm,response=1,100,
A271V19C06841K,"	",,gen=2,age=2,eth=3,MA,"	",kev,S1UM,call,HLL,Call your mom,response=1,57,
A271V19C06841K,"	",,gen=2,age=2,eth=3,MA,"	",bec,S1UM,dog,HLL,take the dog for a walk,response=1,100,
A1P6OXEJ86HQRM,,,gen=2,age=2,eth=3,Ohio,,kev,filler,operation,until,only 3 people knew the truth until the operation was underway,response=1,95,
A1P6OXEJ86HQRM,,,gen=2,age=2,eth=3,Ohio,,kev,S1UM,dog,HLL,take the dog for a walk,response=1,100,
A1P6OXEJ86HQRM,,,gen=2,age=2,eth=3,Ohio,,zio,S1UM,right,LHL,go right,response=1,66,
A1P6OXEJ86HQRM,,,gen=2,age=2,eth=3,Ohio,,chr,S1UM,calm,HLL,be calm,response=1,44,
A1P6OXEJ86HQRM,,,gen=2,age=2,eth=3,Ohio,,zio,S1UM,apple,LHL,use an apple corer,response=1,76,
A1P6OXEJ86HQRM,,,gen=2,age=2,eth=3,Ohio,,kev,S1UM,home,LHL,stay home,response=2,59,
A1P6OXEJ86HQRM,,,gen=2,age=2,eth=3,Ohio,,sara,filler,conference,before,i managed to solicit money from many people before the conference started,response=2,57,
A1P6OXEJ86HQRM,,,gen=2,age=2,eth=3,Ohio,,bec,S1UM,call,HLL,call your mom,response=1,65,
A326O3VWP8TO8N,,,gen=2,age=1,eth=3,South,,kev,S1UM,home,LHL,Stay home,response=1,85,
A326O3VWP8TO8N,,,gen=2,age=1,eth=3,South,,sara,filler,conference,before,I managed to solicit money from many people before the company started,response=1,72,
A326O3VWP8TO8N,,,gen=2,age=1,eth=3,South,,zio,S1UM,apple,LHL,Use an apple core,response=2,14,
A326O3VWP8TO8N,,,gen=2,age=1,eth=3,South,,bec,S1UM,call,HLL,Call your mom,response=1,91,
A326O3VWP8TO8N,,,gen=2,age=1,eth=3,South,,kev,S1UM,dog,HLL,Take the dog for a walk,response=1,93,
A326O3VWP8TO8N,,,gen=2,age=1,eth=3,South,,chr,S1UM,calm,HLL,Be calm,response=1,85,
A326O3VWP8TO8N,,,gen=2,age=1,eth=3,South,,kev,filler,operation,until,Only 3 people knew the truth until the operation was underway,response=1,66,
A326O3VWP8TO8N,,,gen=2,age=1,eth=3,South,,zio,S1UM,right,LHL,Go right,response=1,84,
A30KFZ037789F3,no,,gen=1,age=5,eth=3,midwest,no,kev,S1UM,home,LHL,Stay home,response=1,98,
A30KFZ037789F3,no,,gen=1,age=5,eth=3,midwest,no,kev,S1UM,dog,HLL,Take the dog for a walk,response=1,100,
A30KFZ037789F3,no,,gen=1,age=5,eth=3,midwest,no,kev,filler,operation,until,Only three people knew the truth until the operation was underway,response=1,90,
A30KFZ037789F3,no,,gen=1,age=5,eth=3,midwest,no,bec,S1UM,call,HLL,Call your mom,response=2,25,
A30KFZ037789F3,no,,gen=1,age=5,eth=3,midwest,no,zio,S1UM,right,LHL,Go right,response=1,75,
A30KFZ037789F3,no,,gen=1,age=5,eth=3,midwest,no,sara,filler,conference,before,I managed to solicit money from many people before the conference started,response=2,75,
A30KFZ037789F3,no,,gen=1,age=5,eth=3,midwest,no,chr,S1UM,calm,HLL,Be calm,response=1,76,
A30KFZ037789F3,no,,gen=1,age=5,eth=3,midwest,no,zio,S1UM,apple,LHL,Use an apple corer,response=1,80,
A29CCD6DOOQCGB,,,gen=1,age=2,eth=3,New York ,,kev,S1UM,call,HLL,Call your mom,response=2,82,
A29CCD6DOOQCGB,,,gen=1,age=2,eth=3,New York ,,zio,S1UM,calm,HLL,Be Calm,response=1,73,
A29CCD6DOOQCGB,,,gen=1,age=2,eth=3,New York ,,bec,S1UM,dog,HLL,Take the dog for a walk. ,response=1,94,
A29CCD6DOOQCGB,,,gen=1,age=2,eth=3,New York ,,chr,filler,conference,until,I managed to solicit money from many people until the conference started,response=1,8,
A29CCD6DOOQCGB,,,gen=1,age=2,eth=3,New York ,,chr,S1UM,apple,LHL,use an apple corer,response=1,66,
A29CCD6DOOQCGB,,,gen=1,age=2,eth=3,New York ,,bec,S1UM,home,LHL,Stay home,response=1,74,
A29CCD6DOOQCGB,,,gen=1,age=2,eth=3,New York ,,chr,S1UM,right,LHL,Go right. ,response=1,80,
A29CCD6DOOQCGB,,,gen=1,age=2,eth=3,New York ,,sara,filler,operation,before,only three people knew the truth before the operation was under way. ,response=1,77,
AIWSB4YTN32GF,no,,gen=2,age=1,eth=3,al,no,kev,S1UM,dog,HLL,take the dog for a walk,response=1,100,
AIWSB4YTN32GF,no,,gen=2,age=1,eth=3,al,no,chr,S1UM,calm,HLL,be calm,response=1,51,
AIWSB4YTN32GF,no,,gen=2,age=1,eth=3,al,no,sara,filler,conference,before,i managed to save some money,response=1,69,
AIWSB4YTN32GF,no,,gen=2,age=1,eth=3,al,no,bec,S1UM,call,HLL,call your mom,response=2,61,
AIWSB4YTN32GF,no,,gen=2,age=1,eth=3,al,no,zio,S1UM,apple,LHL,use an apple coreer,response=2,49,
AIWSB4YTN32GF,no,,gen=2,age=1,eth=3,al,no,kev,S1UM,home,LHL,stay home,response=1,69,
AIWSB4YTN32GF,no,,gen=2,age=1,eth=3,al,no,kev,filler,operation,until,only three people knew the truth until the operation was underway,response=1,70,
AIWSB4YTN32GF,no,,gen=2,age=1,eth=3,al,no,zio,S1UM,right,LHL,go right,response=2,60,
A38OPVI04AH4JG,,,gen=2,age=4,eth=3,Tennessee,,zio,S1UM,coffee,LHL,put some creamer in your coffee,response=1,100,
A38OPVI04AH4JG,,,gen=2,age=4,eth=3,Tennessee,,kev,filler,operation,until,only three people knew the truth until the operation was underway,response=1,100,
A38OPVI04AH4JG,,,gen=2,age=4,eth=3,Tennessee,,chr,S1UM,email,HLL,send her an email,response=1,100,
A38OPVI04AH4JG,,,gen=2,age=4,eth=3,Tennessee,,zio,S1UM,cookie,LHL,have a cookie,response=2,100,
A38OPVI04AH4JG,,,gen=2,age=4,eth=3,Tennessee,,bec,S1UM,menu,HLL,read the menu,response=1,100,
A38OPVI04AH4JG,,,gen=2,age=4,eth=3,Tennessee,,kev,S1UM,window,LHL,open the window,response=1,100,
A38OPVI04AH4JG,,,gen=2,age=4,eth=3,Tennessee,,kev,S1UM,left,HLL,turn left,response=1,100,
A38OPVI04AH4JG,,,gen=2,age=4,eth=3,Tennessee,,sara,filler,conference,before,i managed to solicit money from many people before the conference started,response=1,100,
A240OTT1T85UGT,,,gen=2,age=2,eth=3,14787,,bec,S1UM,call,HLL,Call your mom!,response=1,83,
A240OTT1T85UGT,,,gen=2,age=2,eth=3,14787,,zio,S1UM,apple,LHL,Use an apple corer,response=2,81,
A240OTT1T85UGT,,,gen=2,age=2,eth=3,14787,,zio,S1UM,right,LHL,go right,response=1,65,
A240OTT1T85UGT,,,gen=2,age=2,eth=3,14787,,sara,filler,conference,before,i mananged to solicit money from many people before the conference started,response=2,66,
A240OTT1T85UGT,,,gen=2,age=2,eth=3,14787,,kev,S1UM,home,LHL,stay home,response=1,67,
A240OTT1T85UGT,,,gen=2,age=2,eth=3,14787,,kev,S1UM,dog,HLL,take the dog for a walk,response=1,74,
A240OTT1T85UGT,,,gen=2,age=2,eth=3,14787,,kev,filler,operation,until,only three people knew the truth until the operation was underway,response=1,61,
A240OTT1T85UGT,,,gen=2,age=2,eth=3,14787,,chr,S1UM,calm,HLL,be calm,response=1,68,
A30M9SZYJKFDS9,i liked this study,,gen=1,age=2,eth=3,north carolina,i liked this study,bec,S1UM,left,LHL,turn left,response=1,89,clear
A30M9SZYJKFDS9,i liked this study,,gen=1,age=2,eth=3,north carolina,i liked this study,chr,S1UM,email,LHL,send her an email,response=2,84,not clear
A30M9SZYJKFDS9,i liked this study,,gen=1,age=2,eth=3,north carolina,i liked this study,bec,S1UM,menu,LHL,read the menu,response=2,89,a bit clear
A30M9SZYJKFDS9,i liked this study,,gen=1,age=2,eth=3,north carolina,i liked this study,chr,S1UM,coffee,HLL,put some cream on your coffee,response=1,86,not clear
A30M9SZYJKFDS9,i liked this study,,gen=1,age=2,eth=3,north carolina,i liked this study,chr,S1UM,cookie,HLL,have a cookie,response=1,90,clear
A30M9SZYJKFDS9,i liked this study,,gen=1,age=2,eth=3,north carolina,i liked this study,chr,filler,register,before,many students registered for the class before the class requirements were posted,response=1,92,clear
A30M9SZYJKFDS9,i liked this study,,gen=1,age=2,eth=3,north carolina,i liked this study,bec,S1UM,window,HLL,open the window,response=1,86,clear
A30M9SZYJKFDS9,i liked this study,,gen=1,age=2,eth=3,north carolina,i liked this study,sara,filler,border,until,few people managed to leave until the country close its border,response=2,91,not clear
ADKYGTRR8ZLBG,no,,,age=1,eth=3,New Jersey,no,zio,S1UM,apple,LHL,use an apple cord,response=2,100,no
ADKYGTRR8ZLBG,no,,,age=1,eth=3,New Jersey,no,chr,S1UM,calm,HLL,be calm,response=1,100,no
ADKYGTRR8ZLBG,no,,,age=1,eth=3,New Jersey,no,zio,S1UM,right,LHL,go rigth,response=1,100,no
ADKYGTRR8ZLBG,no,,,age=1,eth=3,New Jersey,no,kev,S1UM,dog,HLL,take the dog for a walk,response=1,100,
ADKYGTRR8ZLBG,no,,,age=1,eth=3,New Jersey,no,bec,S1UM,call,HLL,call your mom,response=1,100,
ADKYGTRR8ZLBG,no,,,age=1,eth=3,New Jersey,no,sara,filler,conference,before,i manage to solve for many peoples money before the started,response=1,66,i did not understand what she said
ADKYGTRR8ZLBG,no,,,age=1,eth=3,New Jersey,no,kev,S1UM,home,LHL,stay home,response=1,100,
ADKYGTRR8ZLBG,no,,,age=1,eth=3,New Jersey,no,kev,filler,operation,until,only three people knew the true until the operation was underway ,response=1,100,
A10O5YR01H865K,,,gen=2,age=1,eth=3,utah,,kev,filler,operation,until,only three people knew the truth until the operation was underway,response=2,77,
A10O5YR01H865K,,,gen=2,age=1,eth=3,utah,,chr,S1UM,email,HLL,send her an email,response=1,83,
A10O5YR01H865K,,,gen=2,age=1,eth=3,utah,,zio,S1UM,cookie,LHL,have a cookie,response=2,73,
A10O5YR01H865K,,,gen=2,age=1,eth=3,utah,,kev,S1UM,window,LHL,open the window,response=2,60,
A10O5YR01H865K,,,gen=2,age=1,eth=3,utah,,kev,S1UM,left,HLL,turn left,response=1,82,
A10O5YR01H865K,,,gen=2,age=1,eth=3,utah,,sara,filler,conference,before,i manged to solicit money from many people before the company started,response=2,60,
A10O5YR01H865K,,,gen=2,age=1,eth=3,utah,,zio,S1UM,coffee,LHL,put some creamer in your coffee,response=2,50,
A10O5YR01H865K,,,gen=2,age=1,eth=3,utah,,bec,S1UM,menu,HLL,read the menu,response=1,68,
A2EPBSY0VPI38S,none,,gen=1,age=3,eth=1,southeast,none,kev,S1UM,dog,LHL,take the dog for a walk,response=1,100,
A2EPBSY0VPI38S,none,,gen=1,age=3,eth=1,southeast,none,kev,S1UM,home,HLL,stay home,response=1,100,
A2EPBSY0VPI38S,none,,gen=1,age=3,eth=1,southeast,none,zio,S1UM,right,HLL,go right,response=1,100,
A2EPBSY0VPI38S,none,,gen=1,age=3,eth=1,southeast,none,kev,filler,border,before,few people managed to leave before the country closed its' border,response=2,100,
A2EPBSY0VPI38S,none,,gen=1,age=3,eth=1,southeast,none,kev,S1UM,call,LHL,call your mom,response=2,80,
A2EPBSY0VPI38S,none,,gen=1,age=3,eth=1,southeast,none,sara,filler,register,until,many students registered for the class until the class requirements were posted,response=2,100,
A2EPBSY0VPI38S,none,,gen=1,age=3,eth=1,southeast,none,zio,S1UM,apple,HLL,use an apple corer,response=1,19,
A2EPBSY0VPI38S,none,,gen=1,age=3,eth=1,southeast,none,zio,S1UM,calm,LHL,be calm,response=1,81,
A1CFMY4CEYOM8Y,None,,gen=2,age=2,eth=3,Ohio,None,bec,S1UM,call,LHL,call your mom,response=2,84,
A1CFMY4CEYOM8Y,None,,gen=2,age=2,eth=3,Ohio,None,chr,S1UM,apple,HLL,using apple core,response=1,18,
A1CFMY4CEYOM8Y,None,,gen=2,age=2,eth=3,Ohio,None,chr,S1UM,calm,LHL,be calm,response=1,70,
A1CFMY4CEYOM8Y,None,,gen=2,age=2,eth=3,Ohio,None,bec,S1UM,home,HLL,stay home,response=2,71,
A1CFMY4CEYOM8Y,None,,gen=2,age=2,eth=3,Ohio,None,sara,filler,border,until,he didn't want to show anything for this quarter.,response=1,25,
A1CFMY4CEYOM8Y,None,,gen=2,age=2,eth=3,Ohio,None,bec,S1UM,dog,LHL,take the dog for a walk,response=1,83,
A1CFMY4CEYOM8Y,None,,gen=2,age=2,eth=3,Ohio,None,chr,filler,register,before,none of the students registered for the class before the class requirements requested,response=1,88,
A1CFMY4CEYOM8Y,None,,gen=2,age=2,eth=3,Ohio,None,chr,S1UM,right,HLL,go right,response=2,60,
A3BEBDHWSLH1BQ,GOOD,,gen=1,age=1,eth=7,SAN JOSE,GOOD,bec,S1UM,menu,HLL,READ THE MENU,response=1,73,
A3BEBDHWSLH1BQ,GOOD,,gen=1,age=1,eth=7,SAN JOSE,GOOD,zio,S1UM,cookie,LHL,HAVE A COOKIE,response=1,85,GOOD
A3BEBDHWSLH1BQ,GOOD,,gen=1,age=1,eth=7,SAN JOSE,GOOD,kev,S1UM,left,HLL,TURN LEFT,response=1,89,GOOD
A3BEBDHWSLH1BQ,GOOD,,gen=1,age=1,eth=7,SAN JOSE,GOOD,zio,S1UM,coffee,LHL,TOOK HIM PRE-MENU COFFEE,response=2,88,GOOD
A3BEBDHWSLH1BQ,GOOD,,gen=1,age=1,eth=7,SAN JOSE,GOOD,kev,S1UM,window,LHL,OPEN THE WINDOW,response=2,97,GOOD
A3BEBDHWSLH1BQ,GOOD,,gen=1,age=1,eth=7,SAN JOSE,GOOD,sara,filler,conference,before,I MANNERS TO SOURCE MONEY FROM MANY PEOPLE RIGHT NOW WITH STARTED,response=2,82,
A3BEBDHWSLH1BQ,GOOD,,gen=1,age=1,eth=7,SAN JOSE,GOOD,chr,S1UM,email,HLL,SENT AN EMAIL,response=2,84,GOOD
A3BEBDHWSLH1BQ,GOOD,,gen=1,age=1,eth=7,SAN JOSE,GOOD,kev,filler,operation,until,ONLY THREE PEOPLE  MAYBE TRUTH FROM THE OPERATION OF UNDER AWAY,response=2,80,GOOD
A1HIQZEC2ER7GS,,,gen=2,age=1,eth=4,CA,,kev,S1UM,left,LHL,TURN LEFT,response=1,31,
A1HIQZEC2ER7GS,,,gen=2,age=1,eth=4,CA,,kev,S1UM,window,HLL,OPEN THE WINDOW,response=1,40,
A1HIQZEC2ER7GS,,,gen=2,age=1,eth=4,CA,,zio,S1UM,coffee,HLL,THATS  APRETTY GOOD COFFEE,response=2,25,
A1HIQZEC2ER7GS,,,gen=2,age=1,eth=4,CA,,kev,S1UM,menu,LHL,READ THE MENU,response=1,45,
A1HIQZEC2ER7GS,,,gen=2,age=1,eth=4,CA,,zio,S1UM,email,LHL,SEND HER AN EMAIL,response=1,18,
A1HIQZEC2ER7GS,,,gen=2,age=1,eth=4,CA,,sara,filler,register,until,IS POSTED,response=2,33,
A1HIQZEC2ER7GS,,,gen=2,age=1,eth=4,CA,,zio,S1UM,cookie,HLL,HAVE A COOKIE,response=2,35,
A1HIQZEC2ER7GS,,,gen=2,age=1,eth=4,CA,,kev,filler,border,before,A FEW PEOPLE MANAGED TO LEAVE THE COUNTRY BEFORE THE BORDER,response=2,31,
A1YXQDZYCKILTT,no comment,,gen=1,age=2,eth=3,Oregon,no comment,sara,filler,register,until,Stay home,response=1,69,
A1YXQDZYCKILTT,no comment,,gen=1,age=2,eth=3,Oregon,no comment,zio,S1UM,calm,LHL,Be calm???,response=2,35,
A1YXQDZYCKILTT,no comment,,gen=1,age=2,eth=3,Oregon,no comment,kev,S1UM,dog,LHL,take the dog for a walk,response=1,45,
A1YXQDZYCKILTT,no comment,,gen=1,age=2,eth=3,Oregon,no comment,zio,S1UM,right,HLL,go right,response=1,67,
A1YXQDZYCKILTT,no comment,,gen=1,age=2,eth=3,Oregon,no comment,kev,S1UM,home,HLL,Stay home,response=1,56,
A1YXQDZYCKILTT,no comment,,gen=1,age=2,eth=3,Oregon,no comment,kev,S1UM,call,LHL,call your mom,response=2,26,
A1YXQDZYCKILTT,no comment,,gen=1,age=2,eth=3,Oregon,no comment,zio,S1UM,apple,HLL,use an apple corer,response=1,83,
A1YXQDZYCKILTT,no comment,,gen=1,age=2,eth=3,Oregon,no comment,kev,filler,border,before,few people managed to leave before the country closed its border.,response=1,67,
A1IU1JFAEUC9OC,,,gen=1,age=2,eth=5,Oklahoma,,kev,filler,border,before,Few people managed to leave before the country closed its border,response=2,97,
A1IU1JFAEUC9OC,,,gen=1,age=2,eth=5,Oklahoma,,sara,filler,register,until,Many students registered for the class until the class requirements were posted,response=2,90,
A1IU1JFAEUC9OC,,,gen=1,age=2,eth=5,Oklahoma,,kev,S1UM,call,LHL,Call your mom,response=2,96,
A1IU1JFAEUC9OC,,,gen=1,age=2,eth=5,Oklahoma,,zio,S1UM,apple,HLL,Use an apple corer,response=1,96,
A1IU1JFAEUC9OC,,,gen=1,age=2,eth=5,Oklahoma,,zio,S1UM,calm,LHL,Be calm,response=1,98,
A1IU1JFAEUC9OC,,,gen=1,age=2,eth=5,Oklahoma,,zio,S1UM,right,HLL,Go right,response=1,75,
A1IU1JFAEUC9OC,,,gen=1,age=2,eth=5,Oklahoma,,kev,S1UM,home,HLL,Stay home,response=1,64,
A1IU1JFAEUC9OC,,,gen=1,age=2,eth=5,Oklahoma,,kev,S1UM,dog,LHL,Take the dog for a walk,response=1,77,
A24F08A7411TVV,,,gen=2,age=2,eth=3,South,,kev,filler,border,before,Few people managed to leave before the country closed its border. ,response=2,73,
A24F08A7411TVV,,,gen=2,age=2,eth=3,South,,kev,S1UM,menu,LHL,Read the menu. ,response=1,98,
A24F08A7411TVV,,,gen=2,age=2,eth=3,South,,zio,S1UM,cookie,HLL,Have a cookie. ,response=1,99,
A24F08A7411TVV,,,gen=2,age=2,eth=3,South,,kev,S1UM,left,LHL,Turn left. ,response=1,99,
A24F08A7411TVV,,,gen=2,age=2,eth=3,South,,kev,S1UM,window,HLL,Open the window. ,response=1,98,
A24F08A7411TVV,,,gen=2,age=2,eth=3,South,,zio,S1UM,coffee,HLL,Put some creamer in your coffee. ,response=1,98,
A24F08A7411TVV,,,gen=2,age=2,eth=3,South,,zio,S1UM,email,LHL,Send her an email. ,response=1,84,
A24F08A7411TVV,,,gen=2,age=2,eth=3,South,,sara,filler,register,until,Many students registered for the class until the class requirements were posted. ,response=2,60,
A1C8P0NH84SQ76,Thank you.,,gen=2,age=3,eth=3,South,Thank you.,kev,S1UM,dog,HLL,Take the dog for a walk.,response=1,100,Thank you
A1C8P0NH84SQ76,Thank you.,,gen=2,age=3,eth=3,South,Thank you.,sara,filler,conference,before,I managed to solicit money from many people before the conference started.,response=2,100,Thank you.
A1C8P0NH84SQ76,Thank you.,,gen=2,age=3,eth=3,South,Thank you.,zio,S1UM,right,LHL,Go right,response=1,100,Thank you.
A1C8P0NH84SQ76,Thank you.,,gen=2,age=3,eth=3,South,Thank you.,kev,S1UM,home,LHL,Stay home.,response=2,100,Thank you.
A1C8P0NH84SQ76,Thank you.,,gen=2,age=3,eth=3,South,Thank you.,bec,S1UM,call,HLL,Call your mom.,response=2,100,Thank you.
A1C8P0NH84SQ76,Thank you.,,gen=2,age=3,eth=3,South,Thank you.,zio,S1UM,apple,LHL,Use an apple corer.,response=1,100,Thank you.
A1C8P0NH84SQ76,Thank you.,,gen=2,age=3,eth=3,South,Thank you.,kev,filler,operation,until,Only three people knew the truth until the operation was underway.,response=1,100,Thank you.
A1C8P0NH84SQ76,Thank you.,,gen=2,age=3,eth=3,South,Thank you.,chr,S1UM,calm,HLL,be calm.,response=1,100,Thank you.
A2R6RDZ07V4KWB,,,gen=2,age=1,eth=5,NC,,zio,S1UM,coffee,HLL,Put some creamer in your coffee,response=1,95,
A2R6RDZ07V4KWB,,,gen=2,age=1,eth=5,NC,,kev,S1UM,menu,LHL,Read the menu,response=1,59,
A2R6RDZ07V4KWB,,,gen=2,age=1,eth=5,NC,,zio,S1UM,cookie,HLL,Have a cookie,response=1,59,
A2R6RDZ07V4KWB,,,gen=2,age=1,eth=5,NC,,kev,filler,border,before,You people managed to leave before the country closed it's border,response=2,63,
A2R6RDZ07V4KWB,,,gen=2,age=1,eth=5,NC,,kev,S1UM,window,HLL,Open the window,response=1,72,
A2R6RDZ07V4KWB,,,gen=2,age=1,eth=5,NC,,zio,S1UM,email,LHL,Send her an email,response=1,68,
A2R6RDZ07V4KWB,,,gen=2,age=1,eth=5,NC,,sara,filler,register,until,Many students register for the class until the class requirements are posted,response=2,85,
A2R6RDZ07V4KWB,,,gen=2,age=1,eth=5,NC,,kev,S1UM,left,LHL,Turn left,response=1,100,
A3RT82GOZ3OGJO,none,,gen=2,age=5,eth=3,West,none,zio,S1UM,email,HLL,Send her an email,response=1,73,
A3RT82GOZ3OGJO,none,,gen=2,age=5,eth=3,West,none,sara,filler,operation,before,Only physical images before the operation was under way,response=2,33,
A3RT82GOZ3OGJO,none,,gen=2,age=5,eth=3,West,none,chr,S1UM,coffee,LHL,Put some creamer in you coffee,response=1,100,
A3RT82GOZ3OGJO,none,,gen=2,age=5,eth=3,West,none,chr,filler,conference,until,I managed to solicit money from many people until the conference started.,response=2,65,
A3RT82GOZ3OGJO,none,,gen=2,age=5,eth=3,West,none,kev,S1UM,menu,HLL,Read the menu.,response=1,70,
A3RT82GOZ3OGJO,none,,gen=2,age=5,eth=3,West,none,bec,S1UM,left,HLL,Turn left.,response=1,98,
A3RT82GOZ3OGJO,none,,gen=2,age=5,eth=3,West,none,bec,S1UM,window,LHL,Open the window.,response=2,62,
A3RT82GOZ3OGJO,none,,gen=2,age=5,eth=3,West,none,chr,S1UM,cookie,LHL,Have a cookie.,response=2,84,
A9TGK24RHVMJ0,I know a little of Cantonese but English is my native language because I was born here.,,gen=2,age=3,eth=2,NY,I know a little of Cantonese but English is my native language because I was born here.,kev,S1UM,dog,HLL,Take the dog for a walk.,response=1,100,
A9TGK24RHVMJ0,I know a little of Cantonese but English is my native language because I was born here.,,gen=2,age=3,eth=2,NY,I know a little of Cantonese but English is my native language because I was born here.,zio,S1UM,right,LHL,Go right.,response=1,100,
A9TGK24RHVMJ0,I know a little of Cantonese but English is my native language because I was born here.,,gen=2,age=3,eth=2,NY,I know a little of Cantonese but English is my native language because I was born here.,kev,S1UM,home,LHL,Stay home,response=1,100,
A9TGK24RHVMJ0,I know a little of Cantonese but English is my native language because I was born here.,,gen=2,age=3,eth=2,NY,I know a little of Cantonese but English is my native language because I was born here.,chr,S1UM,calm,HLL,Be calm.,response=1,22,
A9TGK24RHVMJ0,I know a little of Cantonese but English is my native language because I was born here.,,gen=2,age=3,eth=2,NY,I know a little of Cantonese but English is my native language because I was born here.,sara,filler,conference,before,I managed to solicit money from many people who started.,response=1,61,Can't hear exactly what was said toward the end.
A9TGK24RHVMJ0,I know a little of Cantonese but English is my native language because I was born here.,,gen=2,age=3,eth=2,NY,I know a little of Cantonese but English is my native language because I was born here.,bec,S1UM,call,HLL,Call your mom.,response=1,30,
A9TGK24RHVMJ0,I know a little of Cantonese but English is my native language because I was born here.,,gen=2,age=3,eth=2,NY,I know a little of Cantonese but English is my native language because I was born here.,zio,S1UM,apple,LHL,Use an apple core.,response=1,0,
A9TGK24RHVMJ0,I know a little of Cantonese but English is my native language because I was born here.,,gen=2,age=3,eth=2,NY,I know a little of Cantonese but English is my native language because I was born here.,kev,filler,operation,until,Only three knew the truth until the operation was under way.,response=2,0,
A1IUH9D7N69VS,,,gen=2,age=2,eth=4,Florida,,zio,S1UM,cookie,LHL,Have a cookie?,response=2,76,
A1IUH9D7N69VS,,,gen=2,age=2,eth=4,Florida,,kev,S1UM,window,LHL,Open the window,response=2,57,
A1IUH9D7N69VS,,,gen=2,age=2,eth=4,Florida,,kev,S1UM,left,HLL,Turn left,response=1,76,
A1IUH9D7N69VS,,,gen=2,age=2,eth=4,Florida,,kev,filler,operation,until,Only 3 people knew the truth until the operation was underway,response=1,62,
