workerid,gender,age,race,region,regionComments,speaker,sentence,content,intonation,etype,verification,followupchoice,certainty,comment1
A25KKISLF6V7LO,gen=2,age=1,eth=3,New Jersey,"no	",chr,S1UM,calm,HLL,EI,Be calm,response=1,88,
A25KKISLF6V7LO,gen=2,age=1,eth=3,New Jersey,"no	",zio,filler,bring,pnq,wk,Didn't Many bring something?,response=2,63,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",bec,S1UM,lemonade,LHL,EI,Have a lemonade...,response=1,80,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",kev,S1UM,menu,HLL,ED,Read the menu,response=1,100,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",bec,S1UM,window,LHL,EI,Open the window..,response=2,65,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",kev,filler,help,npipnq,str,Didn't Maria left a finger to help,response=1,81,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",zio,S1UM,coffee,LHL,ED,put some creamer in your coffee,response=1,90,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",kev,S1UM,left,HLL,ED,Turn left,response=1,100,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",zio,filler,bring,pnq,wk,Didn't Meny bring something,response=1,87,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",chr,S1UM,calm,HLL,EI,Be calm,response=1,100,
A22EDUBB602EJD,gen=2,age=4,eth=3,Illinois,"no	",kev,S1UM,left,LHL,ED,turn left,response=1,80,
A22EDUBB602EJD,gen=2,age=4,eth=3,Illinois,"no	",zio,filler,bring,pnq,str,Didn't Manny bring something?,response=2,64,
A22EDUBB602EJD,gen=2,age=4,eth=3,Illinois,"no	",chr,S1UM,calm,LHL,ED,Be calm,response=1,96,
A22EDUBB602EJD,gen=2,age=4,eth=3,Illinois,"no	",bec,S1UM,window,HLL,EI,Open the window,response=1,77,
A22EDUBB602EJD,gen=2,age=4,eth=3,Illinois,"no	",zio,S1UM,coffee,HLL,ED,Put some creamer in your coffee.,response=1,75,
A22EDUBB602EJD,gen=2,age=4,eth=3,Illinois,"no	",kev,filler,help,npipnq,wk,Didn't Maria lift a finger to help?,response=1,57,
A22EDUBB602EJD,gen=2,age=4,eth=3,Illinois,"no	",bec,S1UM,lemonade,HLL,EI,Have a lemonade,response=1,77,
A22EDUBB602EJD,gen=2,age=4,eth=3,Illinois,"no	",kev,S1UM,menu,LHL,EI,Read the menu,response=1,85,
A1RATFICCKLCQ,gen=1,age=2,eth=4,Mid Atlantic Region (New York),"No	",zio,filler,bring,npiq,str,Did Manny bring anything at all?,response=2,58,
A1RATFICCKLCQ,gen=1,age=2,eth=4,Mid Atlantic Region (New York),"No	",kev,S1UM,left,LHL,EI,Turn left!,response=1,94,
A1RATFICCKLCQ,gen=1,age=2,eth=4,Mid Atlantic Region (New York),"No	",bec,S1UM,window,HLL,ED,Open the window!,response=1,87,
A1RATFICCKLCQ,gen=1,age=2,eth=4,Mid Atlantic Region (New York),"No	",zio,S1UM,coffee,HLL,EI,Put some creamer in your coffee,response=1,87,
A1RATFICCKLCQ,gen=1,age=2,eth=4,Mid Atlantic Region (New York),"No	",chr,S1UM,calm,LHL,EI,Be calm,response=1,82,
A1RATFICCKLCQ,gen=1,age=2,eth=4,Mid Atlantic Region (New York),"No	",bec,S1UM,lemonade,HLL,ED,Have a lemonade,response=1,80,
A1RATFICCKLCQ,gen=1,age=2,eth=4,Mid Atlantic Region (New York),"No	",kev,S1UM,menu,LHL,ED,Read the menu,response=2,53,
A1RATFICCKLCQ,gen=1,age=2,eth=4,Mid Atlantic Region (New York),"No	",kev,filler,help,npipnq,wk,Didn't Maria lift a finger to help?,response=2,93,
A1AF25FCVKC87X,gen=2,age=2,eth=3,Nevada,"	",bec,S1UM,window,HLL,ED,Open the window,response=1,81,
A1AF25FCVKC87X,gen=2,age=2,eth=3,Nevada,"	",zio,S1UM,coffee,HLL,EI,Put some creamer in your coffee,response=1,82,
A1AF25FCVKC87X,gen=2,age=2,eth=3,Nevada,"	",zio,filler,bring,npiq,str,Did Manny bring anything at all?,response=2,85,
A1AF25FCVKC87X,gen=2,age=2,eth=3,Nevada,"	",kev,filler,help,npipnq,wk,Didn't Maria lift a finger to help?,response=2,82,
A1AF25FCVKC87X,gen=2,age=2,eth=3,Nevada,"	",chr,S1UM,calm,LHL,EI,Be calm,response=1,84,
A1AF25FCVKC87X,gen=2,age=2,eth=3,Nevada,"	",kev,S1UM,menu,LHL,ED,Read the menu,response=1,89,
A1AF25FCVKC87X,gen=2,age=2,eth=3,Nevada,"	",kev,S1UM,left,LHL,EI,Turn Left,response=1,88,
A1AF25FCVKC87X,gen=2,age=2,eth=3,Nevada,"	",bec,S1UM,lemonade,HLL,ED,Have a lemonade,response=1,88,
A263D0NONXWQID,gen=1,age=1,eth=3,Northeast,,kev,S1UM,call,HLL,EI,Call your mom.,response=2,100,
A263D0NONXWQID,gen=1,age=1,eth=3,Northeast,,kev,filler,help,pnq,str,Didn't Maria help?,response=2,55,
A263D0NONXWQID,gen=1,age=1,eth=3,Northeast,,zio,S1UM,right,LHL,ED,Go right,response=2,70,
A263D0NONXWQID,gen=1,age=1,eth=3,Northeast,,kev,S1UM,home,LHL,ED,Stay home.,response=2,80,
A263D0NONXWQID,gen=1,age=1,eth=3,Northeast,,zio,filler,bring,npipnq,wk,Didn't Manny bring anything at all?,response=1,85,
A263D0NONXWQID,gen=1,age=1,eth=3,Northeast,,kev,S1UM,dog,HLL,EI,Take the dog for a walk.,response=1,70,
A263D0NONXWQID,gen=1,age=1,eth=3,Northeast,,bec,S1UM,potato,LHL,EI,Use a potato peeler.,response=1,65,
A263D0NONXWQID,gen=1,age=1,eth=3,Northeast,,zio,S1UM,email,HLL,ED,Send her an email.,response=1,80,
ADZO2VRSQC62U,gen=2,age=1,eth=5,Southeast,,kev,S1UM,dog,LHL,ED,Take the dog for a walk,response=2,53,
ADZO2VRSQC62U,gen=2,age=1,eth=5,Southeast,,zio,filler,bring,npipnq,str,Didn't Manny bring anything at all?,response=2,81,
ADZO2VRSQC62U,gen=2,age=1,eth=5,Southeast,,kev,S1UM,call,LHL,EI,Call your mom,response=2,53,
ADZO2VRSQC62U,gen=2,age=1,eth=5,Southeast,,bec,S1UM,potato,HLL,ED,Use a potato peeler,response=1,64,
ADZO2VRSQC62U,gen=2,age=1,eth=5,Southeast,,zio,S1UM,email,LHL,ED,Send her an email,response=1,29,
ADZO2VRSQC62U,gen=2,age=1,eth=5,Southeast,,kev,S1UM,home,HLL,EI,Stay home,response=1,73,
ADZO2VRSQC62U,gen=2,age=1,eth=5,Southeast,,zio,S1UM,right,HLL,EI,Go right,response=1,96,
ADZO2VRSQC62U,gen=2,age=1,eth=5,Southeast,,kev,filler,help,npiq,wk,Did Maria lift a finger to help?,response=1,80,
A366MTQY0JG0EM,gen=2,age=1,eth=3,Texas,"	",zio,S1UM,email,LHL,ED,Send her an email,response=2,100,
A366MTQY0JG0EM,gen=2,age=1,eth=3,Texas,"	",zio,filler,bring,npipnq,str,Did Mary bring any thing around.,response=2,84,
